experiment_name,timestamp,phase,model_type,feature_set,n_features,angle_mse,depth_mse,left_right_mse,total_scaled_mse,training_time_seconds,per_player,per_target,notes,error_message,hyperparams
baseline_f4_global,2026-01-28T21:26:06.289421,1_baselines,lgbm,f4_hybrid,132,0.007155665123502263,0.029802305269988005,0.018291203395841015,0.018416391263110427,7.1,False,False,,,"{""n_estimators"": 300, ""num_leaves"": 20, ""learning_rate"": 0.02, ""subsample"": 0.7, ""colsample_bytree"": 0.7, ""reg_lambda"": 1.0, ""verbose"": -1, ""n_jobs"": -1, ""random_state"": 42}"
baseline_f4_per_player,2026-01-28T21:26:12.927608,1_baselines,lgbm,f4_hybrid,132,0.007155665123502263,0.029802305269988005,0.018291203395841015,0.018416391263110427,6.6,True,False,,,"{""n_estimators"": 300, ""num_leaves"": 20, ""learning_rate"": 0.02, ""subsample"": 0.7, ""colsample_bytree"": 0.7, ""reg_lambda"": 1.0, ""verbose"": -1, ""n_jobs"": -1, ""random_state"": 42}"
baseline_raw_ridge,2026-01-28T21:26:14.294881,1_baselines,ridge,raw_flattened,49680,0.06906391989714479,0.12277973554689595,0.05425096050100593,0.08203153864834889,1.4,False,False,,,"{""alpha"": 1.0}"
baseline_pca50_ridge,2026-01-28T21:26:14.586704,1_baselines,ridge,pca_50,50,0.0605110231271272,0.140885908918909,0.0958257600067851,0.09907423068427378,0.3,False,False,,,"{""alpha"": 1.0, ""pca_components"": 50}"
feat_f4_hybrid,2026-01-28T21:26:46.020149,2_feature_types,lgbm,f4_hybrid,132,0.007155665123502263,0.029802305269988005,0.018291203395841015,0.018416391263110427,6.7,False,False,F4 hybrid features,,"{""n_estimators"": 300, ""num_leaves"": 20, ""learning_rate"": 0.02, ""subsample"": 0.7, ""colsample_bytree"": 0.7, ""reg_lambda"": 1.0, ""verbose"": -1, ""n_jobs"": -1, ""random_state"": 42}"
feat_velocity,2026-01-28T21:26:53.524657,2_feature_types,lgbm,velocity,378,0.040730661219654754,0.03707968272548967,0.01710595919252778,0.0316387677125574,7.5,False,False,Velocity only,,"{""n_estimators"": 300, ""num_leaves"": 20, ""learning_rate"": 0.02, ""subsample"": 0.7, ""colsample_bytree"": 0.7, ""reg_lambda"": 1.0, ""verbose"": -1, ""n_jobs"": -1, ""random_state"": 42}"
feat_acceleration,2026-01-28T21:27:02.202618,2_feature_types,lgbm,acceleration,378,0.03840024335404361,0.021366421394537354,0.014547732796151068,0.02477146584824401,8.7,False,False,Acceleration only,,"{""n_estimators"": 300, ""num_leaves"": 20, ""learning_rate"": 0.02, ""subsample"": 0.7, ""colsample_bytree"": 0.7, ""reg_lambda"": 1.0, ""verbose"": -1, ""n_jobs"": -1, ""random_state"": 42}"
feat_jerk,2026-01-28T21:27:09.467938,2_feature_types,lgbm,jerk,126,0.04255713387319379,0.01880598782816959,0.01598653328244475,0.025783218327936046,7.3,False,False,Jerk only,,"{""n_estimators"": 300, ""num_leaves"": 20, ""learning_rate"": 0.02, ""subsample"": 0.7, ""colsample_bytree"": 0.7, ""reg_lambda"": 1.0, ""verbose"": -1, ""n_jobs"": -1, ""random_state"": 42}"
feat_critical_frames,2026-01-28T21:27:15.322789,2_feature_types,lgbm,critical_frames,240,0.02839765296512789,0.020745201291707083,0.017223763581069057,0.022122205945968008,5.9,False,False,Critical frame features,,"{""n_estimators"": 300, ""num_leaves"": 20, ""learning_rate"": 0.02, ""subsample"": 0.7, ""colsample_bytree"": 0.7, ""reg_lambda"": 1.0, ""verbose"": -1, ""n_jobs"": -1, ""random_state"": 42}"
feat_fft,2026-01-28T21:27:24.923817,2_feature_types,lgbm,fft,482,0.0431026278224102,0.027368711032550494,0.01681220056463226,0.029094513139864317,9.6,False,False,FFT frequency features,,"{""n_estimators"": 300, ""num_leaves"": 20, ""learning_rate"": 0.02, ""subsample"": 0.7, ""colsample_bytree"": 0.7, ""reg_lambda"": 1.0, ""verbose"": -1, ""n_jobs"": -1, ""random_state"": 42}"
feat_geometric,2026-01-28T21:27:30.795967,2_feature_types,lgbm,geometric,209,0.03174225785155837,0.020852940989383287,0.016148076275612565,0.02291442503885141,5.9,False,False,Geometric distance features,,"{""n_estimators"": 300, ""num_leaves"": 20, ""learning_rate"": 0.02, ""subsample"": 0.7, ""colsample_bytree"": 0.7, ""reg_lambda"": 1.0, ""verbose"": -1, ""n_jobs"": -1, ""random_state"": 42}"
feat_pca_50,2026-01-28T21:27:35.453662,2_feature_types,lgbm,pca_50,50,0.04726069045651884,0.019973290589206813,0.0161613085099895,0.02779842985190505,4.7,False,False,PCA 50 components,,"{""n_estimators"": 300, ""num_leaves"": 20, ""learning_rate"": 0.02, ""subsample"": 0.7, ""colsample_bytree"": 0.7, ""reg_lambda"": 1.0, ""verbose"": -1, ""n_jobs"": -1, ""random_state"": 42}"
feat_pca_100,2026-01-28T21:27:40.729929,2_feature_types,lgbm,pca_100,100,0.04625589559308399,0.01953404836170143,0.016302067719947112,0.027364003891577515,5.3,False,False,PCA 100 components,,"{""n_estimators"": 300, ""num_leaves"": 20, ""learning_rate"": 0.02, ""subsample"": 0.7, ""colsample_bytree"": 0.7, ""reg_lambda"": 1.0, ""verbose"": -1, ""n_jobs"": -1, ""random_state"": 42}"
combo_f4_velocity,2026-01-28T21:28:18.028794,3_combinations,lgbm,f4_hybrid+velocity,510,0.008893590974923874,0.033195673076313596,0.016472694872236186,0.01952065297449122,8.7,False,False,F4 + velocity,,"{""n_estimators"": 300, ""num_leaves"": 20, ""learning_rate"": 0.02, ""subsample"": 0.7, ""colsample_bytree"": 0.7, ""reg_lambda"": 1.0, ""verbose"": -1, ""n_jobs"": -1, ""random_state"": 42}"
combo_f4_critical,2026-01-28T21:28:26.094623,3_combinations,lgbm,f4_hybrid+critical_frames,372,0.009345858018650743,0.02156809456782114,0.01759169629929242,0.016168549628588103,8.1,False,False,F4 + critical frames,,"{""n_estimators"": 300, ""num_leaves"": 20, ""learning_rate"": 0.02, ""subsample"": 0.7, ""colsample_bytree"": 0.7, ""reg_lambda"": 1.0, ""verbose"": -1, ""n_jobs"": -1, ""random_state"": 42}"
combo_f4_fft,2026-01-28T21:28:36.058440,3_combinations,lgbm,f4_hybrid+fft,614,0.007680060614292238,0.027532075313749106,0.01859584526316404,0.017935993730401795,10.0,False,False,F4 + FFT,,"{""n_estimators"": 300, ""num_leaves"": 20, ""learning_rate"": 0.02, ""subsample"": 0.7, ""colsample_bytree"": 0.7, ""reg_lambda"": 1.0, ""verbose"": -1, ""n_jobs"": -1, ""random_state"": 42}"
combo_f4_geometric,2026-01-28T21:28:43.976431,3_combinations,lgbm,f4_hybrid+geometric,341,0.007455725086726487,0.021336225889433205,0.018430251744843636,0.015740734240334443,7.9,False,False,F4 + geometric,,"{""n_estimators"": 300, ""num_leaves"": 20, ""learning_rate"": 0.02, ""subsample"": 0.7, ""colsample_bytree"": 0.7, ""reg_lambda"": 1.0, ""verbose"": -1, ""n_jobs"": -1, ""random_state"": 42}"
combo_f4_velocity_fft,2026-01-28T21:28:55.659842,3_combinations,lgbm,f4_hybrid+velocity+fft,992,0.008600904916125234,0.031721616927919645,0.016323121935625,0.01888188125988996,11.7,False,False,F4 + velocity + FFT,,"{""n_estimators"": 300, ""num_leaves"": 20, ""learning_rate"": 0.02, ""subsample"": 0.7, ""colsample_bytree"": 0.7, ""reg_lambda"": 1.0, ""verbose"": -1, ""n_jobs"": -1, ""random_state"": 42}"
combo_f4_geometric_fft,2026-01-28T21:29:06.549136,3_combinations,lgbm,f4_hybrid+geometric+fft,823,0.007603045117359687,0.022627891230651884,0.01866555980906708,0.01629883205235955,10.9,False,False,F4 + geometric + FFT,,"{""n_estimators"": 300, ""num_leaves"": 20, ""learning_rate"": 0.02, ""subsample"": 0.7, ""colsample_bytree"": 0.7, ""reg_lambda"": 1.0, ""verbose"": -1, ""n_jobs"": -1, ""random_state"": 42}"
combo_f4_velocity_geometric_fft,2026-01-28T21:29:19.219922,3_combinations,lgbm,f4_hybrid+velocity+geometric+fft,1201,0.008614513419922311,0.02698815496743364,0.01648235790859453,0.017361675431983494,12.7,False,False,All feature types,,"{""n_estimators"": 300, ""num_leaves"": 20, ""learning_rate"": 0.02, ""subsample"": 0.7, ""colsample_bytree"": 0.7, ""reg_lambda"": 1.0, ""verbose"": -1, ""n_jobs"": -1, ""random_state"": 42}"
combo_all_per_player,2026-01-28T21:29:31.849381,3_combinations,lgbm,all_combined,1201,0.008614513419922311,0.02698815496743364,0.01648235790859453,0.017361675431983494,12.6,True,False,"All features, per-player CV",,"{""n_estimators"": 300, ""num_leaves"": 20, ""learning_rate"": 0.02, ""subsample"": 0.7, ""colsample_bytree"": 0.7, ""reg_lambda"": 1.0, ""verbose"": -1, ""n_jobs"": -1, ""random_state"": 42}"
baseline_f4_global,2026-01-28T21:31:07.789140,1_baselines,lgbm,f4_hybrid,132,0.007155665123502263,0.029802305269988005,0.018291203395841015,0.018416391263110427,7.0,False,False,,,"{""n_estimators"": 300, ""num_leaves"": 20, ""learning_rate"": 0.02, ""subsample"": 0.7, ""colsample_bytree"": 0.7, ""reg_lambda"": 1.0, ""verbose"": -1, ""n_jobs"": -1, ""random_state"": 42}"
baseline_f4_per_player,2026-01-28T21:31:14.538061,1_baselines,lgbm,f4_hybrid,132,0.007155665123502263,0.029802305269988005,0.018291203395841015,0.018416391263110427,6.7,True,False,,,"{""n_estimators"": 300, ""num_leaves"": 20, ""learning_rate"": 0.02, ""subsample"": 0.7, ""colsample_bytree"": 0.7, ""reg_lambda"": 1.0, ""verbose"": -1, ""n_jobs"": -1, ""random_state"": 42}"
baseline_raw_ridge,2026-01-28T21:31:15.840820,1_baselines,ridge,raw_flattened,49680,0.06906391989714479,0.12277973554689595,0.05425096050100593,0.08203153864834889,1.3,False,False,,,"{""alpha"": 1.0}"
baseline_pca50_ridge,2026-01-28T21:31:15.857661,1_baselines,ridge,pca_50,50,0.0605110231271272,0.140885908918909,0.0958257600067851,0.09907423068427378,0.0,False,False,,,"{""alpha"": 1.0, ""pca_components"": 50}"
feat_f4_hybrid,2026-01-28T21:31:22.663219,2_feature_types,lgbm,f4_hybrid,132,0.007155665123502263,0.029802305269988005,0.018291203395841015,0.018416391263110427,6.8,False,False,F4 hybrid features,,"{""n_estimators"": 300, ""num_leaves"": 20, ""learning_rate"": 0.02, ""subsample"": 0.7, ""colsample_bytree"": 0.7, ""reg_lambda"": 1.0, ""verbose"": -1, ""n_jobs"": -1, ""random_state"": 42}"
feat_velocity,2026-01-28T21:31:29.050213,2_feature_types,lgbm,velocity,378,0.040730661219654754,0.03707968272548967,0.01710595919252778,0.0316387677125574,6.4,False,False,Velocity only,,"{""n_estimators"": 300, ""num_leaves"": 20, ""learning_rate"": 0.02, ""subsample"": 0.7, ""colsample_bytree"": 0.7, ""reg_lambda"": 1.0, ""verbose"": -1, ""n_jobs"": -1, ""random_state"": 42}"
feat_acceleration,2026-01-28T21:31:35.262121,2_feature_types,lgbm,acceleration,378,0.03840024335404361,0.021366421394537354,0.014547732796151068,0.02477146584824401,6.2,False,False,Acceleration only,,"{""n_estimators"": 300, ""num_leaves"": 20, ""learning_rate"": 0.02, ""subsample"": 0.7, ""colsample_bytree"": 0.7, ""reg_lambda"": 1.0, ""verbose"": -1, ""n_jobs"": -1, ""random_state"": 42}"
feat_jerk,2026-01-28T21:31:40.218065,2_feature_types,lgbm,jerk,126,0.04255713387319379,0.01880598782816959,0.01598653328244475,0.025783218327936046,5.0,False,False,Jerk only,,"{""n_estimators"": 300, ""num_leaves"": 20, ""learning_rate"": 0.02, ""subsample"": 0.7, ""colsample_bytree"": 0.7, ""reg_lambda"": 1.0, ""verbose"": -1, ""n_jobs"": -1, ""random_state"": 42}"
feat_critical_frames,2026-01-28T21:31:45.835048,2_feature_types,lgbm,critical_frames,240,0.02839765296512789,0.020745201291707083,0.017223763581069057,0.022122205945968008,5.6,False,False,Critical frame features,,"{""n_estimators"": 300, ""num_leaves"": 20, ""learning_rate"": 0.02, ""subsample"": 0.7, ""colsample_bytree"": 0.7, ""reg_lambda"": 1.0, ""verbose"": -1, ""n_jobs"": -1, ""random_state"": 42}"
feat_fft,2026-01-28T21:31:54.213131,2_feature_types,lgbm,fft,482,0.0431026278224102,0.027368711032550494,0.01681220056463226,0.029094513139864317,8.4,False,False,FFT frequency features,,"{""n_estimators"": 300, ""num_leaves"": 20, ""learning_rate"": 0.02, ""subsample"": 0.7, ""colsample_bytree"": 0.7, ""reg_lambda"": 1.0, ""verbose"": -1, ""n_jobs"": -1, ""random_state"": 42}"
feat_geometric,2026-01-28T21:31:59.660181,2_feature_types,lgbm,geometric,209,0.03174225785155837,0.020852940989383287,0.016148076275612565,0.02291442503885141,5.4,False,False,Geometric distance features,,"{""n_estimators"": 300, ""num_leaves"": 20, ""learning_rate"": 0.02, ""subsample"": 0.7, ""colsample_bytree"": 0.7, ""reg_lambda"": 1.0, ""verbose"": -1, ""n_jobs"": -1, ""random_state"": 42}"
feat_pca_50,2026-01-28T21:32:04.299482,2_feature_types,lgbm,pca_50,50,0.04726069045651884,0.019973290589206813,0.0161613085099895,0.02779842985190505,4.6,False,False,PCA 50 components,,"{""n_estimators"": 300, ""num_leaves"": 20, ""learning_rate"": 0.02, ""subsample"": 0.7, ""colsample_bytree"": 0.7, ""reg_lambda"": 1.0, ""verbose"": -1, ""n_jobs"": -1, ""random_state"": 42}"
feat_pca_100,2026-01-28T21:32:09.420229,2_feature_types,lgbm,pca_100,100,0.04625589559308399,0.01953404836170143,0.016302067719947112,0.027364003891577515,5.1,False,False,PCA 100 components,,"{""n_estimators"": 300, ""num_leaves"": 20, ""learning_rate"": 0.02, ""subsample"": 0.7, ""colsample_bytree"": 0.7, ""reg_lambda"": 1.0, ""verbose"": -1, ""n_jobs"": -1, ""random_state"": 42}"
combo_f4_velocity,2026-01-28T21:32:18.489049,3_combinations,lgbm,f4_hybrid+velocity,510,0.008893590974923874,0.033195673076313596,0.016472694872236186,0.01952065297449122,9.1,False,False,F4 + velocity,,"{""n_estimators"": 300, ""num_leaves"": 20, ""learning_rate"": 0.02, ""subsample"": 0.7, ""colsample_bytree"": 0.7, ""reg_lambda"": 1.0, ""verbose"": -1, ""n_jobs"": -1, ""random_state"": 42}"
combo_f4_critical,2026-01-28T21:32:27.112941,3_combinations,lgbm,f4_hybrid+critical_frames,372,0.009345858018650743,0.02156809456782114,0.01759169629929242,0.016168549628588103,8.6,False,False,F4 + critical frames,,"{""n_estimators"": 300, ""num_leaves"": 20, ""learning_rate"": 0.02, ""subsample"": 0.7, ""colsample_bytree"": 0.7, ""reg_lambda"": 1.0, ""verbose"": -1, ""n_jobs"": -1, ""random_state"": 42}"
combo_f4_fft,2026-01-28T21:32:37.655213,3_combinations,lgbm,f4_hybrid+fft,614,0.007680060614292238,0.027532075313749106,0.01859584526316404,0.017935993730401795,10.5,False,False,F4 + FFT,,"{""n_estimators"": 300, ""num_leaves"": 20, ""learning_rate"": 0.02, ""subsample"": 0.7, ""colsample_bytree"": 0.7, ""reg_lambda"": 1.0, ""verbose"": -1, ""n_jobs"": -1, ""random_state"": 42}"
combo_f4_geometric,2026-01-28T21:32:46.070169,3_combinations,lgbm,f4_hybrid+geometric,341,0.007455725086726487,0.021336225889433205,0.018430251744843636,0.015740734240334443,8.4,False,False,F4 + geometric,,"{""n_estimators"": 300, ""num_leaves"": 20, ""learning_rate"": 0.02, ""subsample"": 0.7, ""colsample_bytree"": 0.7, ""reg_lambda"": 1.0, ""verbose"": -1, ""n_jobs"": -1, ""random_state"": 42}"
combo_f4_velocity_fft,2026-01-28T21:32:58.256592,3_combinations,lgbm,f4_hybrid+velocity+fft,992,0.008600904916125234,0.031721616927919645,0.016323121935625,0.01888188125988996,12.2,False,False,F4 + velocity + FFT,,"{""n_estimators"": 300, ""num_leaves"": 20, ""learning_rate"": 0.02, ""subsample"": 0.7, ""colsample_bytree"": 0.7, ""reg_lambda"": 1.0, ""verbose"": -1, ""n_jobs"": -1, ""random_state"": 42}"
combo_f4_geometric_fft,2026-01-28T21:33:09.770123,3_combinations,lgbm,f4_hybrid+geometric+fft,823,0.007603045117359687,0.022627891230651884,0.01866555980906708,0.01629883205235955,11.5,False,False,F4 + geometric + FFT,,"{""n_estimators"": 300, ""num_leaves"": 20, ""learning_rate"": 0.02, ""subsample"": 0.7, ""colsample_bytree"": 0.7, ""reg_lambda"": 1.0, ""verbose"": -1, ""n_jobs"": -1, ""random_state"": 42}"
combo_f4_velocity_geometric_fft,2026-01-28T21:33:22.774544,3_combinations,lgbm,f4_hybrid+velocity+geometric+fft,1201,0.008614513419922311,0.02698815496743364,0.01648235790859453,0.017361675431983494,13.0,False,False,All feature types,,"{""n_estimators"": 300, ""num_leaves"": 20, ""learning_rate"": 0.02, ""subsample"": 0.7, ""colsample_bytree"": 0.7, ""reg_lambda"": 1.0, ""verbose"": -1, ""n_jobs"": -1, ""random_state"": 42}"
combo_all_per_player,2026-01-28T21:33:35.562790,3_combinations,lgbm,all_combined,1201,0.008614513419922311,0.02698815496743364,0.01648235790859453,0.017361675431983494,12.8,True,False,"All features, per-player CV",,"{""n_estimators"": 300, ""num_leaves"": 20, ""learning_rate"": 0.02, ""subsample"": 0.7, ""colsample_bytree"": 0.7, ""reg_lambda"": 1.0, ""verbose"": -1, ""n_jobs"": -1, ""random_state"": 42}"
model_lgbm_default,2026-01-28T21:33:42.191995,4_model_types,lgbm,f4_hybrid,132,0.007155665123502263,0.029802305269988005,0.018291203395841015,0.018416391263110427,6.6,False,False,,,"{""type"": ""lgbm"", ""params"": ""default""}"
model_lgbm_conservative,2026-01-28T21:33:46.706006,4_model_types,lgbm,f4_hybrid,132,0.013742499769370373,0.0206953417788184,0.016095426097317254,0.01684442254850201,4.5,False,False,,,"{""type"": ""lgbm"", ""params"": ""conservative""}"
model_ridge,2026-01-28T21:33:46.736614,4_model_types,ridge,f4_hybrid,132,2.192056375617489e-05,0.11815881225512896,0.06752886052929506,0.06190319778272674,0.0,False,False,,,"{""type"": ""ridge"", ""alpha"": 1.0}"
model_ridge_cv,2026-01-28T21:33:46.859072,4_model_types,ridge_cv,f4_hybrid,132,3.5472944947153783e-10,0.05273625122168932,0.020356984777942993,0.024364412118120585,0.1,False,False,,,"{""type"": ""ridge_cv""}"
model_elasticnet,2026-01-28T21:33:46.875784,4_model_types,elasticnet,f4_hybrid,132,0.01567794265369468,0.021510189578658356,0.014735579711013353,0.01730790398112213,0.0,False,False,,,"{""type"": ""elasticnet"", ""alpha"": 1.0, ""l1_ratio"": 0.5}"
model_knn_5,2026-01-28T21:33:47.033276,4_model_types,knn,f4_hybrid,132,0.033693025196897056,0.025153366546403634,0.01744467958865643,0.025430357110652373,0.2,False,False,,,"{""type"": ""knn"", ""k"": 5}"
model_knn_10,2026-01-28T21:33:47.045631,4_model_types,knn,f4_hybrid,132,0.032720551582694386,0.021603313712309613,0.017559232893403852,0.023961032729469284,0.0,False,False,,,"{""type"": ""knn"", ""k"": 10}"
model_random_forest,2026-01-28T21:33:51.032093,4_model_types,rf,f4_hybrid,132,0.003647293198600108,0.022645661701076184,0.017396269003890408,0.014563074634522234,4.0,False,False,,,"{""type"": ""rf""}"
model_xgboost,2026-01-28T21:34:00.001445,4_model_types,xgb,f4_hybrid,132,0.005045984305226332,0.029063968424110614,0.017560628489829002,0.017223527073055314,9.0,False,False,,,"{""type"": ""xgb""}"
model_catboost,2026-01-28T21:34:19.245583,4_model_types,catboost,f4_hybrid,132,0.00983892767720504,0.0236914372396384,0.015794962283988422,0.016441775733610622,19.2,False,False,,,"{""type"": ""catboost""}"
target_raw,2026-01-28T21:34:25.901493,5_target_transforms,lgbm,f4_hybrid,132,0.007155665123502263,0.029802305269988005,0.018291203395841015,0.018416391263110427,6.7,False,False,No target transform,,{}
target_log_angle,2026-01-28T21:34:32.744586,5_target_transforms,lgbm,f4_hybrid,132,0.007715321715678343,0.029802305269988005,0.018291203395841015,0.018602943460502452,6.8,False,False,Log transform on angle target,,{}
target_quantile,2026-01-28T21:34:39.600785,5_target_transforms,lgbm,f4_hybrid,132,0.008728509120864522,0.025358774707611702,0.01858992548006067,0.017559069769512298,6.9,False,False,Quantile transform on all targets,,{}
target_per_target_features,2026-01-28T21:34:45.714108,5_target_transforms,lgbm,per_target,-1,0.007155665123502263,0.03707968272548967,0.016148076275612565,0.02012780804153483,6.1,False,True,"Different feature sets per target: f4 for angle, velocity for depth, geometric for left_right",,{}
target_with_interactions,2026-01-28T21:34:52.285757,5_target_transforms,lgbm,f4_hybrid+interactions,163,0.007155665123502263,0.029802305269988005,0.018291203395841015,0.018416391263110427,6.6,False,False,F4 features with multiplicative interactions,,{}
stack_trees,2026-01-28T21:48:54.785931,7_stacking,stacking_3_trees,f4_hybrid,132,0.0034401223200707263,0.022296246660530226,0.024620628522478826,0.016785665834359927,97.2,False,False,Stacking with 3 tree models,,{}
stack_trees_ridge,2026-01-28T21:49:35.589917,7_stacking,stacking_trees_ridge,f4_hybrid,132,3.189266311515312e-05,0.02051071700183148,0.01855706128706682,0.013033223650671152,40.8,False,False,Stacking with trees + ridge,,{}
stack_trees,2026-01-28T21:49:58.325840,7_stacking,stacking_3_trees,f4_hybrid,132,0.0034401223200707263,0.022296246660530226,0.024620628522478826,0.016785665834359927,111.5,False,False,Stacking with 3 tree models,,{}
optimized_blend,2026-01-28T21:50:10.764430,7_stacking,optimized_blend,f4_hybrid,132,1.0251233574895997e-06,0.0007063686113409141,0.0008425947444892951,0.0005166628263958995,35.2,False,False,"Optimized weights: {'angle': {'lgbm': np.float64(7.827072323607355e-15), 'xgb': np.float64(4.718447854656916e-15), 'ridge': np.float64(0.9999999999999875)}, 'depth': {'lgbm': np.float64(1.3402307029720644e-15), 'xgb': np.float64(0.9118903590981549), 'ridge': np.float64(0.08810964090184388)}, 'left_right': {'lgbm': np.float64(0.05172836240297088), 'xgb': np.float64(0.9482716375970291), 'ridge': np.float64(0.0)}}",,{}
stack_trees_ridge,2026-01-28T21:50:27.250465,7_stacking,stacking_trees_ridge,f4_hybrid,132,3.189266311515312e-05,0.02051071700183148,0.01855706128706682,0.013033223650671152,28.9,False,False,Stacking with trees + ridge,,{}
simple_blend,2026-01-28T21:50:39.493401,7_stacking,simple_blend,f4_hybrid,132,0.002618784228262269,0.03566211184752447,0.02264064014538837,0.020307178740391705,28.7,False,False,Simple average blend,,{}
optimized_blend,2026-01-28T21:50:55.336094,7_stacking,optimized_blend,f4_hybrid,132,1.0251233574895997e-06,0.0007063686113409141,0.0008425947444892951,0.0005166628263958995,28.1,False,False,"Optimized weights: {'angle': {'lgbm': np.float64(7.827072323607355e-15), 'xgb': np.float64(4.718447854656916e-15), 'ridge': np.float64(0.9999999999999875)}, 'depth': {'lgbm': np.float64(1.3402307029720644e-15), 'xgb': np.float64(0.9118903590981549), 'ridge': np.float64(0.08810964090184388)}, 'left_right': {'lgbm': np.float64(0.05172836240297088), 'xgb': np.float64(0.9482716375970291), 'ridge': np.float64(0.0)}}",,{}
simple_blend,2026-01-28T21:51:21.890705,7_stacking,simple_blend,f4_hybrid,132,0.002618784228262269,0.03566211184752447,0.02264064014538837,0.020307178740391705,26.6,False,False,Simple average blend,,{}
tuned_angle,2026-01-28T21:51:56.019590,8_per_target_tuning,lgbm_optuna,f4_hybrid,132,0.006615962996864051,0.029043525199424047,0.018451110950086613,0.018036866382124903,76.5,False,True,Optuna tuned for angle,,"{""n_estimators"": 248, ""num_leaves"": 26, ""learning_rate"": 0.024623557680683538, ""subsample"": 0.7301423925919845, ""colsample_bytree"": 0.8998296702028786, ""reg_lambda"": 0.11173585848067301, ""reg_alpha"": 0.027638567938948526, ""verbose"": -1, ""n_jobs"": -1}"
tuned_depth,2026-01-28T21:53:08.263043,8_per_target_tuning,lgbm_optuna,f4_hybrid,132,0.015069358252752898,0.018317093131818358,0.01569825400810412,0.016361568464225124,72.2,False,True,Optuna tuned for depth,,"{""n_estimators"": 109, ""num_leaves"": 23, ""learning_rate"": 0.010036817092287495, ""subsample"": 0.8353085856117147, ""colsample_bytree"": 0.6295874047192426, ""reg_lambda"": 1.7928869203559221, ""reg_alpha"": 0.147713991962166, ""verbose"": -1, ""n_jobs"": -1}"
tuned_angle,2026-01-28T21:53:34.418250,8_per_target_tuning,lgbm_optuna,f4_hybrid,132,0.006444270307716138,0.025618342649713563,0.01780989475218066,0.016624169236536788,85.5,False,True,Optuna tuned for angle,,"{""n_estimators"": 175, ""num_leaves"": 31, ""learning_rate"": 0.02236807377983991, ""subsample"": 0.7246227182333641, ""colsample_bytree"": 0.8903280240070602, ""reg_lambda"": 0.6310597332556218, ""reg_alpha"": 0.015862372424967075, ""verbose"": -1, ""n_jobs"": -1}"
tuned_left_right,2026-01-28T21:54:33.243375,8_per_target_tuning,lgbm_optuna,f4_hybrid,132,0.012304839410092722,0.018100137500542145,0.01582307386773552,0.015409350259456797,85.0,False,True,Optuna tuned for left_right,,"{""n_estimators"": 104, ""num_leaves"": 40, ""learning_rate"": 0.010090197461915503, ""subsample"": 0.5902332848506947, ""colsample_bytree"": 0.8933789895190923, ""reg_lambda"": 0.6394517152628126, ""reg_alpha"": 0.01383899448903159, ""verbose"": -1, ""n_jobs"": -1}"
tuned_combined,2026-01-28T21:54:42.805943,8_per_target_tuning,lgbm_tuned,f4_hybrid,132,0.007155665123502263,0.029802305269988005,0.018291203395841015,0.018416391263110427,9.6,False,False,Combined with tuned per-target params,,{}
feature_importance,2026-01-28T21:54:45.280732,9_analysis,analysis,f4_hybrid,132,0.0,0.0,0.0,0.0,2.5,False,False,Feature importance saved to /Users/elliot18/Desktop/Home/Projects/SPLxUTSPAN-2026-Data-Challenge/output/overnight/analysis/feature_importances.json,,{}
tuned_depth,2026-01-28T21:54:47.750147,8_per_target_tuning,lgbm_optuna,f4_hybrid,132,0.013743840464230956,0.01821911680221573,0.015476224075824371,0.015813060447423685,73.3,False,True,Optuna tuned for depth,,"{""n_estimators"": 104, ""num_leaves"": 19, ""learning_rate"": 0.01002143507712246, ""subsample"": 0.6058742804686761, ""colsample_bytree"": 0.7169834425677343, ""reg_lambda"": 1.1235256435465053, ""reg_alpha"": 0.4152589393387071, ""verbose"": -1, ""n_jobs"": -1}"
model_correlation,2026-01-28T21:54:55.146176,9_analysis,analysis,f4_hybrid,132,0.0,0.0,0.0,0.0,9.9,False,False,"Model correlations: {'angle': 0.9065292800042214, 'depth': 0.2966531195753546, 'left_right': 0.3792398436262936}",,{}
participant_analysis,2026-01-28T21:55:05.373336,9_analysis,analysis,f4_hybrid,132,0.0,0.0,0.0,0.0,10.2,False,False,Hardest participant: 5 (MSE: 0.0291),,{}
error_analysis,2026-01-28T21:55:15.206900,9_analysis,analysis,f4_hybrid,132,0.0,0.0,0.0,0.0,9.8,False,False,Error stats saved to /Users/elliot18/Desktop/Home/Projects/SPLxUTSPAN-2026-Data-Challenge/output/overnight/analysis/error_distribution.json,,{}
tuned_left_right,2026-01-28T21:55:46.368224,8_per_target_tuning,lgbm_optuna,f4_hybrid,132,0.017458386765728244,0.018061407489510472,0.015112308320104567,0.016877367525114425,58.6,False,True,Optuna tuned for left_right,,"{""n_estimators"": 100, ""num_leaves"": 11, ""learning_rate"": 0.010227291762686084, ""subsample"": 0.8843972079481055, ""colsample_bytree"": 0.7772561340964367, ""reg_lambda"": 9.524141485770278, ""reg_alpha"": 0.22059507378189833, ""verbose"": -1, ""n_jobs"": -1}"
tuned_combined,2026-01-28T21:55:52.875192,8_per_target_tuning,lgbm_tuned,f4_hybrid,132,0.007155665123502263,0.029802305269988005,0.018291203395841015,0.018416391263110427,6.5,False,False,Combined with tuned per-target params,,{}
